country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","30-11-2025 23:00:00",28.636429,77.201067,PM10,133,251,180
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","30-11-2025 23:00:00",28.570173,76.933762,CO,36,59,45
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","30-11-2025 23:00:00",28.570173,76.933762,NO2,66,88,77
India,Delhi,Delhi,"Mundka, Delhi - DPCC","30-11-2025 23:00:00",28.684678,77.076574,NO2,80,156,117
India,Delhi,Delhi,"Mundka, Delhi - DPCC","30-11-2025 23:00:00",28.684678,77.076574,OZONE,2,83,34
India,Delhi,Delhi,"Narela, Delhi - DPCC","30-11-2025 23:00:00",28.822836,77.101981,NH3,4,7,5
India,Delhi,Delhi,"Narela, Delhi - DPCC","30-11-2025 23:00:00",28.822836,77.101981,SO2,5,24,17
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","30-11-2025 23:00:00",28.567890,77.250515,NO2,43,127,77
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","30-11-2025 23:00:00",28.567890,77.250515,OZONE,2,172,53
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","30-11-2025 23:00:00",28.6573814,77.1585447,OZONE,16,322,135
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","30-11-2025 23:00:00",28.674045,77.131023,PM2.5,170,383,310
India,Delhi,Delhi,"Pusa, Delhi - DPCC","30-11-2025 23:00:00",28.639652,77.146275,CO,52,103,76
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","30-11-2025 23:00:00",28.563262,77.186937,OZONE,2,146,45
India,Delhi,Delhi,"Rohini, Delhi - DPCC","30-11-2025 23:00:00",28.732528,77.119920,NH3,10,22,15
India,Delhi,Delhi,"Rohini, Delhi - DPCC","30-11-2025 23:00:00",28.732528,77.119920,OZONE,4,277,105
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","30-11-2025 23:00:00",28.5504249,77.2159377,PM2.5,151,361,306
